504260	16189	multi-table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/fishbase	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016).	2018-11-14T23:08:56.731Z
350213	9655	dwca	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/arthropodEasyCaptureAMNH	Digital Bee Collections Network, 2014 (and updates). Version: 2015-03-18. National Science Foundation grant DBI 0956388; PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 08 Mar 2016. National Science Foundation grant DBI#0316495; Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 08 Mar 2016. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115	2018-11-14T23:06:12.089Z
271904	14872	single table	https://globalbioticinteractions.org/?accordingTo=globi:millerse/Wardeh-et-al.-2015	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	2018-11-14T23:57:59.059Z
242429	53459	single table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/natural-history-museum-london-interactions-bank	Ed Baker; Ian J. Kitching; George W. Beccaloni; Amoret Whitaker et al. (2016). Dataset: NHM Interactions Bank. Natural History Museum Data Portal (data.nhm.ac.uk). https://doi.org/10.5519/0060767	2018-11-14T23:59:18.054Z
225564	1262	single table	https://globalbioticinteractions.org/?accordingTo=globi:millerse/Dapstrom-integrated-database-and-portal-for-fish-stomach-records	Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.	2018-11-14T23:08:07.099Z
183935	837	single table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/ices	Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, International Council for the Exploration of the Sea (ICES). Available at http://www.ices.dk/products/cooperative.asp .	2018-11-14T23:55:53.930Z
183773	34194	single table	https://globalbioticinteractions.org/?accordingTo=globi:EOL/pseudonitzchia	A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.	2018-11-14T23:59:33.580Z
122328	377	single table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/noaa-reem	Resource Ecology and Ecosystem Modeling (REEM) - Groundfish Diet Data of Aleutian Islands, Alaska Fisheries Science Center, NOAA; Resource Ecology and Ecosystem Modeling (REEM) - Groundfish Diet Data of Gulf of Alaska, Alaska Fisheries Science Center, NOAA; Resource Ecology and Ecosystem Modeling (REEM) - Groundfish Diet of Data Bering Sea, Alaska Fisheries Science Center, NOAA	2018-11-14T23:18:07.423Z
99715	30220	single table	https://globalbioticinteractions.org/?accordingTo=globi:millerse/US-National-Parasite-Collection	http://invertebrates.si.edu/parasites.htm	2018-11-14T23:59:11.563Z
96647	736	single table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/roopnarine	Roopnarine, P. D., & Hertog, R. (2013). Detailed Food Web Networks of Three Greater Antillean Coral Reef Systems: The Cayman Islands, Cuba, and Jamaica. Dataset Papers in Ecology, 2013, 1–9. doi:10.7167/2013/857470	2018-11-14T23:57:56.907Z
74304	1908	multi-table	https://globalbioticinteractions.org/?accordingTo=globi:GoMexSI/interaction-data	http://gomexsi.tamucc.edu	2018-11-14T23:05:40.441Z
61195	19793	multi-table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/bioinfo	Food Webs and Species Interactions in the Biodiversity of UK and Ireland (Online). 2017. Data provided by Malcolm Storey. Also available from http://bioinfo.org.uk.	2018-11-14T23:20:10.445Z
60794	8224	multi-table	https://globalbioticinteractions.org/?accordingTo=globi:globalbioticinteractions/web-of-life	Web of Life. http://www.web-of-life.es .	2018-11-14T23:09:16.802Z
